license_id,brand_name,ingredient,drugbank_id,potential_indication,source,score
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,hereditary thrombocytopenia with normal platelets,TxGNN Deep Learning,0.9999536275863647
EMEA/H/C/002733,Feraccru,FERRIC MALTOL,DB15598,iron deficiency anemia,TxGNN Deep Learning,0.9999535083770752
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,transient neonatal thrombocytopenia,TxGNN Deep Learning,0.999953269958496
EMEA/H/C/004720,Mulpleo (previously Lusutrombopag Shionogi),LUSUTROMBOPAG,DB13125,hereditary thrombocytopenia with normal platelets,TxGNN Deep Learning,0.9999510049819946
EMEA/H/C/004720,Mulpleo (previously Lusutrombopag Shionogi),LUSUTROMBOPAG,DB13125,marcothrombocytopenia with mitral valve insufficiency,TxGNN Deep Learning,0.9999508857727052
EMEA/H/C/002733,Feraccru,FERRIC MALTOL,DB15598,deficiency anemia,TxGNN Deep Learning,0.9999507665634156
EMEA/H/C/003964,Elocta,EFMOROCTOCOG ALFA,DB11607,Glanzmann thrombasthenia,TxGNN Deep Learning,0.9999499320983888
EMEA/H/C/002813,Nuwiq,SIMOCTOCOG ALFA,DB09108,Glanzmann thrombasthenia,TxGNN Deep Learning,0.9999499320983888
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,congenital hypotrichosis milia,TxGNN Deep Learning,0.9999499320983888
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,isolated genetic hair shaft abnormality,TxGNN Deep Learning,0.9999496936798096
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,dense granule disease,TxGNN Deep Learning,0.9999496936798096
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,thrombocytopenia,TxGNN Deep Learning,0.9999494552612304
EMEA/H/C/000631,Aptivus,TIPRANAVIR,DB00932,HIV infectious disease,TxGNN Deep Learning,0.9999490976333618
EMEA/H/C/004720,Mulpleo (previously Lusutrombopag Shionogi),LUSUTROMBOPAG,DB13125,transient neonatal thrombocytopenia,TxGNN Deep Learning,0.9999479055404664
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,"polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis",TxGNN Deep Learning,0.9999476671218872
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,faciodigitogenital syndrome,TxGNN Deep Learning,0.999947428703308
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,Ambras type hypertrichosis universalis congenita,TxGNN Deep Learning,0.9999470710754396
EMEA/H/C/000081,Betaferon,INTERFERON BETA-1B,DB00068,relapsing-remitting multiple sclerosis,TxGNN Deep Learning,0.9999468326568604
EMEA/H/C/005437,Vumerity,DIROXIMEL FUMARATE (BIIB098),DB14783,drug-induced osteoporosis,TxGNN Deep Learning,0.9999464750289916
EMEA/H/C/004720,Mulpleo (previously Lusutrombopag Shionogi),LUSUTROMBOPAG,DB13125,dense granule disease,TxGNN Deep Learning,0.9999462366104126
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,congenital disorder of glycosylation with defective fucosylation,TxGNN Deep Learning,0.9999454021453856
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,severe nonproliferative diabetic retinopathy,TxGNN Deep Learning,0.9999443292617798
EMEA/H/C/002511,Telmisartan Teva Pharma,TELMISARTAN,DB00966,obsolete susceptibility to ischemic stroke,TxGNN Deep Learning,0.9999438524246216
EMEA/H/C/004720,Mulpleo (previously Lusutrombopag Shionogi),LUSUTROMBOPAG,DB13125,thrombocytopenia,TxGNN Deep Learning,0.999943733215332
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,retinal dystrophy with or without extraocular anomalies,TxGNN Deep Learning,0.9999403953552246
EMEA/H/C/002310,Dasselta,DESLORATADINE,DB00967,allergic urticaria,TxGNN Deep Learning,0.9999390840530396
,Tipiracil,TIPIRACIL,DB09343,colonic neoplasm,TxGNN Deep Learning,0.99993896484375
EMEA/H/C/000109,Rilutek,RILUZOLE,DB00740,bilateral parasagittal parieto-occipital polymicrogyria,TxGNN Deep Learning,0.999936819076538
EMEA/H/C/004806,Takhzyro,LANADELUMAB,DB14597,hereditary angioedema with C1Inh deficiency,TxGNN Deep Learning,0.99993634223938
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,myopia X-linked,TxGNN Deep Learning,0.9999361038208008
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,diabetic retinopathy,TxGNN Deep Learning,0.9999349117279052
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,diffuse alopecia areata,TxGNN Deep Learning,0.9999343156814576
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,sclerosing cholangitis,TxGNN Deep Learning,0.9999337196350098
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,atypical glycine encephalopathy,TxGNN Deep Learning,0.9999321699142456
EMEA/H/C/004806,Takhzyro,LANADELUMAB,DB14597,serpinopathy with toxic serpin polymerization,TxGNN Deep Learning,0.99993097782135
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,diabetic cataract,TxGNN Deep Learning,0.9999301433563232
EMEA/H/C/000391,Lumigan,BIMATOPROST,DB00905,alopecia,TxGNN Deep Learning,0.9999295473098756
EMEA/H/C/003789,Oncaspar,PEGASPARGASE,DB00059,acute lymphoblastic leukemia (disease),TxGNN Deep Learning,0.999929428100586
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,fetal and neonatal alloimmune thrombocytopenia,TxGNN Deep Learning,0.9999284744262696
EMEA/H/C/005437,Vumerity,DIROXIMEL FUMARATE (BIIB098),DB14783,iris disease,TxGNN Deep Learning,0.9999276399612428
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,amyotrophic lateral sclerosis,TxGNN Deep Learning,0.9999274015426636
EMEA/H/C/004773,Febuxostat Krka,FEBUXOSTAT,DB04854,"hypouricemia, renal",TxGNN Deep Learning,0.9999258518218994
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,"Charcot-Marie-Tooth disease, demyelinating, type 1G",TxGNN Deep Learning,0.9999258518218994
,Imipenem,IMIPENEM,DB01598,diffuse scleroderma,TxGNN Deep Learning,0.99992573261261
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,malignant peritoneal mesothelioma,TxGNN Deep Learning,0.9999245405197144
EMEA/H/C/000109,Rilutek,RILUZOLE,DB00740,amyotrophic lateral sclerosis,TxGNN Deep Learning,0.9999239444732666
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,pleural adenomatoid tumor,TxGNN Deep Learning,0.9999239444732666
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,pleural mesothelioma,TxGNN Deep Learning,0.9999233484268188
EMEA/H/C/000331,Fasturtec,RASBURICASE,DB00049,obsolete hyperuricemia (disease),TxGNN Deep Learning,0.999922513961792
EMEA/H/C/002400,Adasuve,LOXAPINE,DB00408,manic bipolar affective disorder,TxGNN Deep Learning,0.999922513961792
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,craniostenosis cataract,TxGNN Deep Learning,0.9999209642410278
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,mature cataract,TxGNN Deep Learning,0.9999209642410278
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,diabetes mellitus type 2 associated cataract,TxGNN Deep Learning,0.9999209642410278
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,immature cataract,TxGNN Deep Learning,0.9999209642410278
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,tetanic cataract,TxGNN Deep Learning,0.9999209642410278
